Annee;Serie;Code_Station;Id_Operation;Code_PMFM;Libelle_PMFM;Valeur
2 015;Campagne CGFS;T0593;58;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0595;59;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0596;60;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0597;61;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0598;62;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0599;63;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0600;64;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0601;65;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.9
2 015;Campagne CGFS;T0602;66;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0603;67;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0604;68;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.1
2 015;Campagne CGFS;T0605;69;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.5
2 015;Campagne CGFS;T0607;70;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.6
2 015;Campagne CGFS;T0608;71;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0609;72;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0610;73;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0611;74;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 015;Campagne CGFS;T0615;75;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.0
2 015;Campagne CGFS;T0616;76;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.8
2 015;Campagne CGFS;T0618;77;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";19.0
2 015;Campagne CGFS;T0619;78;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";20.6
2 015;Campagne CGFS;T0620;79;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";19.2
2 015;Campagne CGFS;T0621;80;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";20.6
2 015;Campagne CGFS;T0622;81;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";20.6
2 015;Campagne CGFS;T0623;82;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";21.2
2 015;Campagne CGFS;T0624;83;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";19.9
2 015;Campagne CGFS;T0625;84;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";18.0
2 015;Campagne CGFS;T0626;85;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";18.0
2 015;Campagne CGFS;T0627;86;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";21.0
2 015;Campagne CGFS;T0628;87;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";21.0
2 015;Campagne CGFS;T0629;88;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";20.0
2 015;Campagne CGFS;T0630;89;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";20.0
2 015;Campagne CGFS;T0631;90;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";21.0
2 015;Campagne CGFS;T0632;91;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";21.0
2 015;Campagne CGFS;T0633;92;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";20.0
2 015;Campagne CGFS;T0634;93;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";21.0
2 015;Campagne CGFS;T0635;94;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";21.0
2 015;Campagne CGFS;T0636;95;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";21.0
2 016;Campagne CGFS;U0390;1;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 016;Campagne CGFS;U0391;2;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 016;Campagne CGFS;U0392;3;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0395;4;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0396;5;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";18.0
2 016;Campagne CGFS;U0397;6;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0398;7;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.0
2 016;Campagne CGFS;U0399;8;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 016;Campagne CGFS;U0400;9;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0401;10;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
