IDENTIFIANT_TAXON_HARMONIE;CODE_PERMANENT_REFTAX;CODE_MNEMONIQUE_REFTAX;APHIA_ID_WORMS;NOM_VALIDE;EST_REFERENT;CODE_LIEN_REFERENT_SYNONYME;NUMERO_D_ORDRE_SYSTEMATIQUE;NIVEAU_SYSTEMATIQUE;IDENTIFIANT_TAXON_PERE;IDENTIFIANT_AUTEUR_DATE;AUTEUR_DATE
22186;7369;POMACRO;273505;Pomadasys crocro;OUI;7369;369615000;Espèce;18005;1185;(Cuvier, 1830)
17132;1678;POMAINC;126947;Pomadasys incisus;OUI;1678;369630000;Espèce;18005;792;(Bowdich, 1825)
33357;1678;POMAINC;401878;Pomadasys bennetti;NON;1678;369630000;Espèce;18005;678;(Lowe, 1838)
33358;1678;POMAINC;320595;Pristipoma bennettii;NON;1678;369630000;Espèce;18005;4143;Lowe, 1838
33359;1678;POMAINC;401876;Pristipoma bennetti;NON;1678;369630000;Espèce;18005;4143;Lowe, 1838
33360;1678;POMAINC;401879;Orthopristis bennetti;NON;1678;369630000;Espèce;18005;678;(Lowe, 1838)
33361;1678;POMAINC;303420;Pomadasys bennettii;NON;1678;369630000;Espèce;18005;678;(Lowe, 1838)
33362;1678;POMAINC;320633;Pristipoma ronchus;NON;1678;369630000;Espèce;18005;4729;Valenciennes, 1838
33363;1678;POMAINC;401880;Pomadasis bennettii;NON;1678;369630000;Espèce;18005;678;(Lowe, 1838)
33364;1678;POMAINC;401881;Dacymba bennetti;NON;1678;369630000;Espèce;18005;3135;(Lowe, 1938)
33356;1678;POMAINC;316307;Anomalodon incisus;NON;1678;369630000;Espèce;18005;1836;Bowdich, 1825
22833;4477;POMASTR;;Rhonciscus stridens;NON;4477;369660000;Espèce;18005;809;(Forsskål, 1775)
22868;4477;POMASTR;;Sciaena stridens;NON;4477;369660000;Espèce;18005;1699;Forsskål, 1775
19920;4477;POMASTR;126948;Pomadasys stridens;OUI;4477;369660000;Espèce;18005;809;(Forsskål, 1775)
18443;2993;HAPO;;Haemulon + Pomadasys;OUI;2993;369700000;Genre;37261;;
37260;12528;SFPLECT;714649;Plectorhinchinae;OUI;12528;370000000;Sous-famille;17127;7331;Jordan & Thompson, 1912
19310;3866;GENT;269195;Genyatremus;OUI;3866;370200000;Genre;37260;628;Gill, 1862
34237;3105;GENTLUT;308594;Haemulon luteus;NON;3105;370270000;Espèce;19310;934;(Bloch, 1790)
18551;3105;GENTLUT;280829;Genyatremus luteus;OUI;3105;370270000;Espèce;19310;934;(Bloch, 1790)
34238;3105;GENTLUT;309644;Lutjanus luteus;NON;3105;370270000;Espèce;19310;1072;Bloch, 1790
17129;1675;PAPO;126009;Parapristipoma;OUI;1675;370500000;Genre;37260;795;Bleeker, 1873
17130;1676;PAPOHUM;126944;Parapristipoma humile;OUI;1676;370540000;Espèce;17129;792;(Bowdich, 1825)
33353;1676;PAPOHUM;;Diagramma citrinellum;NON;1676;370540000;Espèce;17129;713;Günther, 1864
33351;1676;PAPOHUM;320639;Pristipoma viridense;NON;1676;370540000;Espèce;17129;933;Cuvier, 1830
33350;1676;PAPOHUM;320612;Pristipoma humilis;NON;1676;370540000;Espèce;17129;1836;Bowdich, 1825
33352;1676;PAPOHUM;303413;Parapristipoma viridense;NON;1676;370540000;Espèce;17129;1185;(Cuvier, 1830)
33355;1677;PAPOOCT;313231;Diagramma octolineatum;NON;1677;370560000;Espèce;17129;796;(Valenciennes, 1833)
33354;1677;PAPOOCT;320625;Pristipoma octolineatum;NON;1677;370560000;Espèce;17129;861;Valenciennes, 1833
17131;1677;PAPOOCT;126945;Parapristipoma octolineatum;OUI;1677;370560000;Espèce;17129;796;(Valenciennes, 1833)
17597;2143;PLEO;126010;Plectorhinchus;OUI;2143;370600000;Genre;37260;740;Lacepède, 1801
23363;1674;PLEOMED;401851;Plectorhynchus mediterraneus;NON;1674;370606000;Espèce;17597;794;(Guichenot, 1850)
17128;1674;PLEOMED;126946;Plectorhinchus mediterraneus;OUI;1674;370606000;Espèce;17597;794;(Guichenot, 1850)
33349;1674;PLEOMED;303412;Parapristipoma mediterraneum;NON;1674;370606000;Espèce;17597;794;(Guichenot, 1850)
33348;1674;PLEOMED;313228;Diagramma mediterraneum;NON;1674;370606000;Espèce;17597;750;Guichenot, 1850
33347;1674;PLEOMED;401850;Plectorhynchus mediterranus;NON;1674;370606000;Espèce;17597;794;(Guichenot, 1850)
18151;2700;ARCS;159237;Archosargus;OUI;2700;371600000;Genre;17145;3819;Gill, 1865
26973;2701;ARCSPRO;308742;Archosargus aries;NON;2701;371660000;Espèce;18151;800;(Valenciennes, 1830)
27373;2701;ARCSPRO;305293;Sparus probatocephalus;NON;2701;371660000;Espèce;18151;1544;Walbaum, 1792
18152;2701;ARCSPRO;159238;Archosargus probatocephalus;OUI;2701;371660000;Espèce;18151;676;(Walbaum, 1792)
17145;1691;FMSPARI;125564;Sparidae;OUI;1691;371700000;Famille;38013;4444;Rafinesque, 1818
17146;1692;SPAR;126082;Sparus;OUI;1692;371900000;Genre;17145;1;Linnaeus, 1758
33851;1693;SPARAUR;;Pagrus auratus;NON;1693;372000000;Espèce;17146;62;(Linnaeus, 1758)
27351;1693;SPARAUR;127065;Sparus auratus;NON;1693;372000000;Espèce;17146;1;Linnaeus, 1758
33573;1693;SPARAUR;316510;Aurata aurata;NON;1693;372000000;Espèce;17146;62;(Linnaeus, 1758)
17147;1693;SPARAUR;151523;Sparus aurata;OUI;1693;372000000;Espèce;17146;1;Linnaeus, 1758
33603;1693;SPARAUR;314086;Chrysophrys aurata;NON;1693;372000000;Espèce;17146;62;(Linnaeus, 1758)
33604;1693;SPARAUR;401917;Chrysophrys aurathus;NON;1693;372000000;Espèce;17146;62;(Linnaeus, 1758)
33605;1693;SPARAUR;;Chrysophrys auratus;NON;1693;372000000;Espèce;17146;62;(Linnaeus, 1758)
29964;1693;SPARAUR;;Chrysophris aurata;NON;1693;372000000;Espèce;17146;;
33607;1693;SPARAUR;314092;Chrysophrys crassirostris;NON;1693;372000000;Espèce;17146;804;Valenciennes, 1830
17148;1694;PAGR;126080;Pagrus;OUI;1694;372100000;Genre;17145;669;Cuvier, 1816
18664;3218;PAGRAFR;273975;Pagrus africanus;OUI;3218;372200000;Espèce;17148;1326;Akazaki, 1962
29157;3218;PAGRAFR;323707;Sparus pagrus africanus;NON;3218;372200000;Espèce;17148;2942;(Akazaki, 1962)
30559;6651;PAGRAUR;305228;Sparus auriga;NON;6651;372200100;Espèce;17148;784;(Valenciennes, 1843)
30558;6651;PAGRAUR;321494;Semapagrus auriga;NON;6651;372200100;Espèce;17148;784;(Valenciennes, 1843)
30557;6651;PAGRAUR;312985;Argyrops auriga;NON;6651;372200100;Espèce;17148;784;(Valenciennes, 1843)
21904;6651;PAGRAUR;127061;Pagrus auriga;OUI;6651;372200100;Espèce;17148;799;Valenciennes, 1843
30019;1695;PAGRPAG;;Sparus pagrus pagrus;NON;1695;372300000;Espèce;17148;;
17149;1695;PAGRPAG;127063;Pagrus pagrus;OUI;1695;372300000;Espèce;17148;62;(Linnaeus, 1758)
33859;1695;PAGRPAG;305219;Pagrus vulgaris;NON;1695;372300000;Espèce;17148;804;Valenciennes, 1830
33858;1695;PAGRPAG;305217;Pagrus sedecim;NON;1695;372300000;Espèce;17148;3827;Ginsburg, 1952
28375;1695;PAGRPAG;293425;Sparus pagurus;NON;1695;372300000;Espèce;17148;;
33939;1695;PAGRPAG;293425;Sparus pagrus;NON;1695;372300000;Espèce;17148;1;Linnaeus, 1758
33606;1696;PAGRCAE;314089;Chrysophrys caeruleosticta;NON;1696;372400000;Espèce;17148;804;Valenciennes, 1830
33661;1696;PAGRCAE;314374;Evynnis ehrenbergii;NON;1696;372400000;Espèce;17148;800;(Valenciennes, 1830)
33855;1696;PAGRCAE;401911;Pagrus erhenbergii;NON;1696;372400000;Espèce;17148;804;Valenciennes, 1830
33854;1696;PAGRCAE;305202;Pagrus ehrenbergi;NON;1696;372400000;Espèce;17148;804;Valenciennes, 1830
33853;1696;PAGRCAE;401910;Pagrus coeruleostictus;NON;1696;372400000;Espèce;17148;800;(Valenciennes, 1830)
33852;1696;PAGRCAE;305198;Pagrus bertheloti;NON;1696;372400000;Espèce;17148;799;Valenciennes, 1843
33922;1696;PAGRCAE;401908;Sparus caeruleosticus;NON;1696;372400000;Espèce;17148;800;(Valenciennes, 1830)
33921;1696;PAGRCAE;305237;Sparus caeruleostictus;NON;1696;372400000;Espèce;17148;800;(Valenciennes, 1830)
33930;1696;PAGRCAE;305259;Sparus ehrenbergii;NON;1696;372400000;Espèce;17148;800;(Valenciennes, 1830)
33929;1696;PAGRCAE;305258;Sparus ehrenbergi;NON;1696;372400000;Espèce;17148;800;(Valenciennes, 1830)
33926;1696;PAGRCAE;401907;Sparus coeruleostictus;NON;1696;372400000;Espèce;17148;800;(Valenciennes, 1830)
17150;1696;PAGRCAE;127062;Pagrus caeruleostictus;OUI;1696;372400000;Espèce;17148;800;(Valenciennes, 1830)
23971;2732;PAGRMAJ;314105;Chrysophrys major;NON;2732;372500000;Espèce;17148;4676;Temminck & Schlegel, 1843
24245;2732;PAGRMAJ;401912;Pagus major;NON;2732;372500000;Espèce;17148;1181;(Temminck & Schlegel, 1843)
18183;2732;PAGRMAJ;273976;Pagrus major;OUI;2732;372500000;Espèce;17148;1181;(Temminck & Schlegel, 1843)
24243;2732;PAGRMAJ;305281;Sparus major;NON;2732;372500000;Espèce;17148;1181;(Temminck & Schlegel, 1843)
24244;2732;PAGRMAJ;319968;Pagrosomus major;NON;2732;372500000;Espèce;17148;1181;(Temminck & Schlegel, 1843)
17151;1697;BOOP;126073;Boops;OUI;1697;372600000;Genre;17145;801;Cuvier, 1814
33920;1698;BOOPBOO;151502;Sparus boops;NON;1698;372700000;Espèce;17151;1;Linnaeus, 1758
33584;1698;BOOPBOO;307391;Box vulgaris;NON;1698;372700000;Espèce;17151;804;Valenciennes, 1830
33580;1698;BOOPBOO;151363;Box boops;NON;1698;372700000;Espèce;17151;62;(Linnaeus, 1758)
33577;1698;BOOPBOO;305107;Boops canariensis;NON;1698;372700000;Espèce;17151;807;Valenciennes, 1839
33581;1698;BOOPBOO;307388;Box canariensis;NON;1698;372700000;Espèce;17151;744;(Valenciennes, 1838)
17152;1698;BOOPBOO;127047;Boops boops;OUI;1698;372700000;Espèce;17151;62;(Linnaeus, 1758)
35322;1699;DIPD;345024;Sargus;NON;1699;372800000;Genre;17145;5461;Klein, 1775
17153;1699;DIPD;126076;Diplodus;OUI;1699;372800000;Genre;17145;621;Rafinesque, 1810
35321;1699;DIPD;297737;Sargus;NON;1699;372800000;Genre;17145;669;Cuvier, 1816
17154;1700;DIPDANN;127049;Diplodus annularis;OUI;1700;372900000;Espèce;17153;62;(Linnaeus, 1758)
33918;1700;DIPDANN;305224;Sparus annularis;NON;1700;372900000;Espèce;17153;1;Linnaeus, 1758
20004;4561;DIPDARA;273968;Diplodus argenteus argenteus;OUI;4561;372950000;Sous-espèce = Variété (Plantae);17153;800;(Valenciennes, 1830)
22520;4561;DIPDARA;293578;Diplodus argenteus;NON;4561;372950000;Espèce;17153;800;(Valenciennes, 1830)
22519;4561;DIPDARA;321158;Sargus argenteus;NON;4561;372950000;Espèce;17153;804;Valenciennes, 1830
36840;12110;DIPDARC;293579;Diplodus argenteus caudimacula;OUI;12110;372951000;Sous-espèce = Variété (Plantae);17153;1207;(Poey, 1860)
33880;2108;DIPDBEL;401902;Sargus belloti;NON;2108;373000000;Espèce;17153;924;(Steindachner, 1882)
33881;2108;DIPDBEL;321162;Sargus bellottii;NON;2108;373000000;Espèce;17153;1325;Steindachner, 1882
17562;2108;DIPDBEL;127050;Diplodus bellottii;OUI;2108;373000000;Espèce;17153;924;(Steindachner, 1882)
