ScientificName;;AphiaID;Match type;Taxon status;ScientificName;AphiaID_accepted;ScientificName_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial
Rhizostoma;;135257;exact;accepted;Rhizostoma;135257;Rhizostoma;Animalia;Cnidaria;Scyphozoa;Rhizostomeae;Rhizostomatidae;Rhizostoma;;;;1;0;0;0
Alopias vulpinus;;105836;exact;accepted;Alopias vulpinus;105836;Alopias vulpinus;Animalia;Chordata;Elasmobranchii;Lamniformes;Alopiidae;Alopias;;vulpinus;;1;0;0;0
Gymnammodytes semisquamatus;;126754;exact;accepted;Gymnammodytes semisquamatus;126754;Gymnammodytes semisquamatus;Animalia;Chordata;Actinopterygii;Perciformes;Ammodytidae;Gymnammodytes;;semisquamatus;;1;0;0;0
Gobius gasteveni;;126890;exact;accepted;Gobius gasteveni;126890;Gobius gasteveni;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Gobius;;gasteveni;;1;1;0;0
Diplecogaster bimaculata;;126513;exact;alternate representation;Diplecogaster bimaculata;236458;Diplecogaster bimaculata bimaculata;Animalia;Chordata;Actinopterygii;Gobiesociformes;Gobiesocidae;Diplecogaster;;bimaculata;;1;0;0;0
Pomatoschistus;;125999;exact;accepted;Pomatoschistus;125999;Pomatoschistus;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Pomatoschistus;;;;1;1;1;0
Microchirus (Microchirus) variegatus;;127472;exact;alternate representation;Microchirus (Microchirus) variegatus;274304;Microchirus variegatus;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Soleidae;Microchirus;Microchirus;variegatus;;1;0;0;0
Eledone cirrhosa;;140600;exact;accepted;Eledone cirrhosa;140600;Eledone cirrhosa;Animalia;Mollusca;Cephalopoda;Octopoda;Eledonidae;Eledone;;cirrhosa;;1;;0;0
Gobius paganellus;;126893;exact;accepted;Gobius paganellus;126893;Gobius paganellus;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Gobius;;paganellus;;1;1;1;0
Pomatoschistus minutus;;126928;exact;accepted;Pomatoschistus minutus;126928;Pomatoschistus minutus;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Pomatoschistus;;minutus;;1;1;0;0
Symphodus (Crenilabrus) bailloni;;127454;exact;alternate representation;Symphodus (Crenilabrus) bailloni;273566;Symphodus bailloni;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Symphodus;Crenilabrus;bailloni;;1;;;
Psammechinus miliaris;;124319;exact;accepted;Psammechinus miliaris;124319;Psammechinus miliaris;Animalia;Echinodermata;Echinoidea;Camarodonta;Parechinidae;Psammechinus;;miliaris;;1;0;0;0
Crepidula fornicata;;138963;exact;accepted;Crepidula fornicata;138963;Crepidula fornicata;Animalia;Mollusca;Gastropoda;Littorinimorpha;Calyptraeidae;Crepidula;;fornicata;;1;;;
Nudibranchia;;1762;exact;accepted;Nudibranchia;1762;Nudibranchia;Animalia;Mollusca;Gastropoda;Nudibranchia;;;;;;1;;;
Alloteuthis;;138138;exact;accepted;Alloteuthis;138138;Alloteuthis;Animalia;Mollusca;Cephalopoda;Myopsida;Loliginidae;Alloteuthis;;;;1;;0;0
Liocarcinus holsatus;;107388;exact;accepted;Liocarcinus holsatus;107388;Liocarcinus holsatus;Animalia;Arthropoda;Malacostraca;Decapoda;Polybiidae;Liocarcinus;;holsatus;;1;;;
Asterias rubens;;123776;exact;accepted;Asterias rubens;123776;Asterias rubens;Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Asterias;;rubens;;1;1;0;0
Crossaster papposus;;124154;exact;accepted;Crossaster papposus;124154;Crossaster papposus;Animalia;Echinodermata;Asteroidea;Valvatida;Solasteridae;Crossaster;;papposus;;1;0;0;0
Pagurus bernhardus;;107232;exact;accepted;Pagurus bernhardus;107232;Pagurus bernhardus;Animalia;Arthropoda;Malacostraca;Decapoda;Paguridae;Pagurus;;bernhardus;;1;;;
Tethya citrina;;134312;exact;accepted;Tethya citrina;134312;Tethya citrina;Animalia;Porifera;Demospongiae;Tethyida;Tethyidae;Tethya;;citrina;;1;0;0;0
Inachus;;106905;exact;accepted;Inachus;106905;Inachus;Animalia;Arthropoda;Malacostraca;Decapoda;Inachidae;Inachus;;;;1;;;
Alcyonium digitatum;;125333;exact;accepted;Alcyonium digitatum;125333;Alcyonium digitatum;Animalia;Cnidaria;Anthozoa;Alcyonacea;Alcyoniidae;Alcyonium;;digitatum;;1;;0;0
Alcyonidium diaphanum;;111597;exact;accepted;Alcyonidium diaphanum;111597;Alcyonidium diaphanum;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;;diaphanum;;1;0;0;0
Adamsia palliata;;445590;exact;accepted;Adamsia palliata;445590;Adamsia palliata;Animalia;Cnidaria;Anthozoa;Actiniaria;Hormathiidae;Adamsia;;palliata;;1;;;
Inachus phalangium;;107333;exact;accepted;Inachus phalangium;107333;Inachus phalangium;Animalia;Arthropoda;Malacostraca;Decapoda;Inachidae;Inachus;;phalangium;;1;;;
Porifera;;558;exact;accepted;Porifera;558;Porifera;Animalia;Porifera;;;;;;;;1;1;1;0
Epizoanthus;;100790;exact;accepted;Epizoanthus;100790;Epizoanthus;Animalia;Cnidaria;Anthozoa;Zoantharia;Epizoanthidae;Epizoanthus;;;;1;0;0;0
Atelecyclus undecimdentatus;;107274;exact;accepted;Atelecyclus undecimdentatus;107274;Atelecyclus undecimdentatus;Animalia;Arthropoda;Malacostraca;Decapoda;Atelecyclidae;Atelecyclus;;undecimdentatus;;1;;;
Urticina felina;;100834;exact;accepted;Urticina felina;100834;Urticina felina;Animalia;Cnidaria;Anthozoa;Actiniaria;Actiniidae;Urticina;;felina;;1;;;
Pyuridae;;103449;exact;accepted;Pyuridae;103449;Pyuridae;Animalia;Chordata;Ascidiacea;Stolidobranchia;Pyuridae;;;;;1;;;
Alcyonidium gelatinosum;;111600;exact;accepted;Alcyonidium gelatinosum;111600;Alcyonidium gelatinosum;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;;gelatinosum;;1;0;0;0
Ophiura albida;;124913;exact;accepted;Ophiura albida;124913;Ophiura albida;Animalia;Echinodermata;Ophiuroidea;Ophiurida;Ophiuridae;Ophiura;;albida;;1;1;0;0
Epizoanthus incrustatus;;150642;exact;unaccepted;Epizoanthus incrustatus;101037;Epizoanthus papillosus;Animalia;Cnidaria;Anthozoa;Zoantharia;Epizoanthidae;Epizoanthus;;incrustatus;;1;0;0;0
Suberites ficus;;134285;exact;accepted;Suberites ficus;134285;Suberites ficus;Animalia;Porifera;Demospongiae;Suberitida;Suberitidae;Suberites;;ficus;;1;0;0;0
Flustra foliacea;;111367;exact;accepted;Flustra foliacea;111367;Flustra foliacea;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Flustridae;Flustra;;foliacea;;1;0;0;0
Upogebia deltaura;;107739;exact;accepted;Upogebia deltaura;107739;Upogebia deltaura;Animalia;Arthropoda;Malacostraca;Decapoda;Upogebiidae;Upogebia;;deltaura;;1;;;
Liocarcinus;;106925;exact;accepted;Liocarcinus;106925;Liocarcinus;Animalia;Arthropoda;Malacostraca;Decapoda;Polybiidae;Liocarcinus;;;;1;;;
Hyas coarctatus;;107323;exact;accepted;Hyas coarctatus;107323;Hyas coarctatus;Animalia;Arthropoda;Malacostraca;Decapoda;Oregoniidae;Hyas;;coarctatus;;1;;;
Mustelus;;105732;exact;accepted;Mustelus;105732;Mustelus;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Triakidae;Mustelus;;;;1;1;0;0
Ciliata septentrionalis;;126449;exact;accepted;Ciliata septentrionalis;126449;Ciliata septentrionalis;Animalia;Chordata;Actinopterygii;Gadiformes;Lotidae;Ciliata;;septentrionalis;;1;1;0;0
Carcinus maenas;;107381;exact;accepted;Carcinus maenas;107381;Carcinus maenas;Animalia;Arthropoda;Malacostraca;Decapoda;Carcinidae;Carcinus;;maenas;;1;;;
Ostrea edulis;;140658;exact;accepted;Ostrea edulis;140658;Ostrea edulis;Animalia;Mollusca;Bivalvia;Ostreida;Ostreidae;Ostrea;;edulis;;1;;;
Hippocampus;;126224;exact;accepted;Hippocampus;126224;Hippocampus;Animalia;Chordata;Actinopterygii;Syngnathiformes;Syngnathidae;Hippocampus;;;;1;1;0;0
