ScientificName;;AphiaID;Match type;Taxon status;ScientificName;AphiaID_accepted;ScientificName_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial
Echiichthys vipera;;150630;exact;accepted;Echiichthys vipera;150630;Echiichthys vipera;Animalia;Chordata;Actinopterygii;Perciformes;Trachinidae;Echiichthys;;vipera;;1;0;0;0
Anguilla anguilla;;126281;exact;accepted;Anguilla anguilla;126281;Anguilla anguilla;Animalia;Chordata;Actinopterygii;Anguilliformes;Anguillidae;Anguilla;;anguilla;;1;1;1;0
Balistes capriscus;;154721;exact;accepted;Balistes capriscus;154721;Balistes capriscus;Animalia;Chordata;Actinopterygii;Tetraodontiformes;Balistidae;Balistes;;capriscus;;1;0;0;0
Micromesistius poutassou;;126439;exact;accepted;Micromesistius poutassou;126439;Micromesistius poutassou;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Micromesistius;;poutassou;;1;0;0;0
Microstomus kitt;;127140;exact;accepted;Microstomus kitt;127140;Microstomus kitt;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Pleuronectidae;Microstomus;;kitt;;1;0;0;0
Dasyatis pastinaca;;105851;exact;accepted;Dasyatis pastinaca;105851;Dasyatis pastinaca;Animalia;Chordata;Elasmobranchii;Myliobatiformes;Dasyatidae;Dasyatis;;pastinaca;;1;1;0;0
Trachinus draco;;127082;exact;accepted;Trachinus draco;127082;Trachinus draco;Animalia;Chordata;Actinopterygii;Perciformes;Trachinidae;Trachinus;;draco;;1;0;0;0
Pegusa lascaris;;127156;exact;accepted;Pegusa lascaris;127156;Pegusa lascaris;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Soleidae;Pegusa;;lascaris;;1;1;0;0
Conger conger;;126285;exact;accepted;Conger conger;126285;Conger conger;Animalia;Chordata;Actinopterygii;Anguilliformes;Congridae;Conger;;conger;;1;0;0;0
Microchirus variegatus;;274304;exact;accepted;Microchirus variegatus;274304;Microchirus variegatus;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Soleidae;Microchirus;;variegatus;;1;0;0;0
Alosa fallax;;126415;exact;accepted;Alosa fallax;126415;Alosa fallax;Animalia;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Alosa;;fallax;;1;1;1;0
Ciliata mustela;;126448;exact;accepted;Ciliata mustela;126448;Ciliata mustela;Animalia;Chordata;Actinopterygii;Gadiformes;Lotidae;Ciliata;;mustela;;1;0;0;0
Labrus bergylta;;126965;exact;accepted;Labrus bergylta;126965;Labrus bergylta;Animalia;Chordata;Actinopterygii;Perciformes;Labridae;Labrus;;bergylta;;1;0;0;0
Liza ramada;;126980;exact;unaccepted;Liza ramada;1042830;Chelon ramada;Animalia;Chordata;Actinopterygii;Perciformes;Mugilidae;Liza;;ramada;;1;1;1;0
Pagellus erythrinus;;127060;exact;accepted;Pagellus erythrinus;127060;Pagellus erythrinus;Animalia;Chordata;Actinopterygii;Perciformes;Sparidae;Pagellus;;erythrinus;;1;0;0;0
Sparus aurata;;151523;exact;accepted;Sparus aurata;151523;Sparus aurata;Animalia;Chordata;Actinopterygii;Perciformes;Sparidae;Sparus;;aurata;;1;1;0;0
Zeugopterus punctatus;;127151;exact;accepted;Zeugopterus punctatus;127151;Zeugopterus punctatus;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Scophthalmidae;Zeugopterus;;punctatus;;1;0;0;0
Osmerus eperlanus;;126736;exact;accepted;Osmerus eperlanus;126736;Osmerus eperlanus;Animalia;Chordata;Actinopterygii;Osmeriformes;Osmeridae;Osmerus;;eperlanus;;1;1;1;0
Leucoraja circularis;;105873;exact;accepted;Leucoraja circularis;105873;Leucoraja circularis;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Leucoraja;;circularis;;1;0;0;0
Arnoglossus laterna;;127126;exact;accepted;Arnoglossus laterna;127126;Arnoglossus laterna;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Bothidae;Arnoglossus;;laterna;;1;0;0;0
Salmo trutta;;127187;exact;accepted;Salmo trutta;127187;Salmo trutta;Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Salmo;;trutta;;1;1;1;0
