RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,DateofCalculation
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88031,31,1988,10,17,1753,-9,30,D,50.2070,0.1677,50.2090,0.2020,29F0,45,V,C8831,1,1,C,3.5000,-9,-9,2519,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88032,32,1988,10,18,0725,-9,30,D,49.8020,0.1343,49.8030,0.1747,28F0,33,V,C8832,1,1,C,3.5000,-9,-9,3234,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88033,33,1988,10,18,0938,-9,30,D,49.9030,-0.1090,49.9060,-0.0667,28E9,45,V,C8833,1,1,C,3.5000,-9,-9,3503,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88034,34,1988,10,18,1443,-9,31,D,50.4383,-0.1020,50.4257,-0.1500,29E9,61,V,C8834,1,1,C,3.5000,-9,-9,3485,250,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88035,35,1988,10,19,0707,-9,19,D,50.7500,-0.1353,50.7550,-0.1070,30E9,23,V,C8835,1,1,C,3.5000,-9,-9,1987,150,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88036,36,1988,10,19,0944,-9,20,D,50.5090,-0.1353,50.5187,-0.1020,30E9,68,V,C8836,1,1,C,3.5000,-9,-9,2421,250,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88037,37,1988,10,19,1303,-9,30,D,50.5343,0.3500,50.5333,0.3020,30F0,50,V,C8837,1,1,C,3.5000,-9,-9,3310,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88038,38,1988,10,19,1516,-9,30,D,50.5217,0.1227,50.5167,0.0873,30F0,51,V,C8838,1,1,C,3.5000,-9,-9,2752,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88039,39,1988,10,19,1647,-9,30,D,50.4383,0.1333,50.4257,0.0863,29F0,57,V,C8839,1,1,C,3.5000,-9,-9,3373,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
HH,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C88040,40,1988,10,20,0740,-9,31,D,50.1090,-0.3590,50.1030,-0.4197,29E9,53,V,C8840,1,1,C,3.5000,-9,-9,4191,200,18,-9,2.0000,200,-9.0,-9.0,32,-9.0000,300,-9,-9.0000,-9.0000,-9,-9.0000,-9,-9.0000,-9,-9,-9,-9.0000,-9.0,-9.0,-9.00,-9.00,-9,-9,20170914
